"id";"geohash";"lat";"lon";"descr"
136;"sr2yk77n";41.8989;12.4958;"Bookstore"
137;"sr2yk76z";41.899;12.4954;"Italian Restaurant"
138;"sr3jb1gx";41.8029;12.6612;"none"
139;"sr2yk7zj";41.9014;12.5012;"Metro Station"
140;"sr2vzphr";41.8317;12.6183;"Italian Restaurant"
141;"sr2vzphx";41.8317;12.6187;"Italian Restaurant"
142;"sr2yk7d1";41.8994;12.4944;"Italian Restaurant"
143;"sr2yk77r";41.899;12.4961;"Italian Restaurant"
144;"sr2yk6cs";41.8958;12.4937;"Bistro"
145;"sr3jbe29";41.8101;12.6791;"Beer Bar"
146;"sr3jb6v9";41.8074;12.675;"Pub"
147;"sr3jwfs1";41.762;12.9586;"Cafeteria"
148;"sr3jwfkd";41.7608;12.9592;"Lingerie Store"
149;"sr3j8pq2";41.788;12.665;"High School"
150;"sr3jb6ke";41.805;12.6736;"none"
151;"sr2vzydf";41.8281;12.6492;"Plaza"
152;"sr2vzyeh";41.8285;12.6496;"none"
153;"sr2y6sk8";41.9033;12.4209;"Café"
154;"sr2y6shx";41.9031;12.4209;"Café"
155;"sr2tybuh";41.7969;12.2554;"Airport Gate"
156;"u09yf95j";49.0055;2.5751;"General Travel"
157;"u09wj0cj";48.8723;2.3307;"Office"
158;"u09tuc7c";48.8304;2.3234;"Hotel"
159;"u09tsqw6";48.8154;2.3049;"Comedy Club"
160;"u09tsw8x";48.8163;2.308;"Government Building"
161;"u09tuc7c";48.8304;2.3234;"Motorcycle Shop"
162;"u09tubj8";48.8233;2.3258;"Brasserie"
163;"u09tyj6z";48.8534;2.377;"Women's Store"
164;"sr2xs8n6";42.1;12.1596;"Tanning Salon"
165;"sr2xt0kd";42.1014;12.1792;"University"
166;"sr2xsbrh";42.1018;12.1717;"Mobile Phone Shop"
167;"sr2xsbqf";42.1014;12.1713;"African Restaurant"
168;"sr2xsbqs";42.1018;12.171;"Snack Place"
169;"sr2xsbqu";42.1018;12.1713;"Snack Place"
170;"sr2xs9tg";42.1085;12.159;"Gym"
171;"sr2xy71b";42.1601;12.2304;"Restaurant"
172;"sr2ykpju";41.9191;12.4885;"Science Museum"
173;"sr2ykpjy";41.9195;12.4885;"Science Museum"
174;"sr2y563x";41.8496;12.4497;"Post Office"
175;"sr2xsbrq";42.1021;12.172;"Mobile Phone Shop"
176;"u2edhzh9";48.2028;16.387;"Concert Hall"
177;"u2edjn9q";48.2009;16.3935;"Trattoria/Osteria"
178;"u2edhzh9";48.2028;16.387;"Hotel"
179;"u2edjeyk";48.1854;16.4223;"Gastropub"
180;"u2edjevw";48.1858;16.4213;"Italian Restaurant"
181;"u1705342";52.0368;4.3648;"Lake"
182;"u25k6rus";45.7904;15.9255;"Medical Center"
183;"u25kt19v";45.8002;16.0426;"Coffee Shop"
184;"u25kt1f0";45.8007;16.043;"Grocery Store"
185;"u25kdgxu";45.811;15.952;"Café"
186;"u25ket61";45.8201;15.977;"Cosmetics Shop"
187;"u25k6rej";45.7892;15.9235;"Bar"
188;"u25kgw7m";45.8702;15.9788;"Trail"
189;"u25kt1dn";45.8004;16.043;"Coffee Shop"
190;"u25k6rue";45.7902;15.9255;"Medical Center"
191;"u25kt19y";45.8004;16.0426;"Coffee Shop"
192;"u25kt1dn";45.8004;16.043;"Office"
193;"u25k6wg2";45.7842;15.9348;"Café"
194;"u25kd1c5";45.8012;15.9098;"Grocery Store"
195;"u25kd1c4";45.8011;15.9098;"Grocery Store"
196;"u25k7n4h";45.7808;15.9551;"Nightclub"
197;"u25k7n47";45.7806;15.9554;"Nightclub"
198;"u25k6pgz";45.7909;15.9135;"Cosmetics Shop"
199;"u25k9dvw";45.8072;15.894;"Café"
200;"u1h17p1r";50.8845;5.7587;"Hotel"
201;"u1h17p32";50.8846;5.7587;"Hotel"
202;"u1h1xbf5";50.8934;5.9685;"Office"
203;"u1h1e294";50.8919;5.7694;"none"
204;"u1h16zmn";50.8857;5.7529;"Shoe Store"
205;"u1h1gg5y";50.9502;5.7951;"Salon / Barbershop"
206;"u1h14k9n";50.8266;5.7254;"Gym / Fitness Center"
207;"u1h16znn";50.8843;5.7543;"Government Building"
208;"u1h13chd";50.8507;5.7083;"School"
209;"u1h13chc";50.8505;5.7086;"School"
210;"u1h138cj";50.8498;5.6925;"Clothing Store"
211;"u1h17p1q";50.8843;5.7587;"Hotel"
212;"u0u6k7kv";49.6331;6.17;"Salon / Barbershop"
213;"u0u65bd7";49.5737;6.1446;"none"
214;"u0u65bd3";49.5733;6.1446;"none"
215;"u0u65bdf";49.5735;6.1453;"none"
216;"u0u6k7s2";49.6336;6.1693;"Asian Restaurant"
217;"u0u6k7s0";49.6336;6.169;"Middle Eastern Restaurant"
218;"u0vugenu";50.071;8.2492;"College Library"
219;"u0u64juv";49.6028;6.0712;"Men's Store"
220;"u0u6h038";49.5718;6.1546;"Event Space"
221;"u0u65b6m";49.5726;6.1446;"none"
222;"u0u6599k";49.5793;6.1323;"Restaurant"
223;"u0u6599d";49.579;6.1326;"Restaurant"
224;"u0u6599f";49.579;6.133;"Restaurant"
225;"u0u6k7s0";49.6336;6.169;"Bagel Shop"
226;"u0u6k7s2";49.6336;6.1693;"Government Building"
227;"u0u6k7kv";49.6331;6.17;"Travel Agency"
228;"u0u65bd1";49.5733;6.1443;"none"
229;"u0u65bd6";49.5735;6.1446;"none"
230;"u0u65b6j";49.5726;6.1443;"none"
231;"sr2y7s7h";41.904;12.4628;"Dessert Shop"
232;"sr2y7s7j";41.9042;12.4628;"Dessert Shop"
233;"sr2y7s6u";41.904;12.4624;"Dessert Shop"
234;"sr2vfmsg";41.8228;12.4103;"Office"
235;"sr2vfmss";41.823;12.4099;"Office"
236;"sr2yk7e0";41.8992;12.4958;"Hotel"
237;"sr2yk7e0";41.8992;12.4958;"Café"
238;"sr2yk7e2";41.8992;12.4961;"Café"
239;"sr2yk76y";41.8989;12.4954;"Bookstore"
240;"sr2yn34s";41.8422;12.583;"none"
241;"sr2yk75p";41.8977;12.4958;"Restaurant"
242;"sr2yktp2";41.9074;12.5126;"College Classroom"
243;"sr8qgttv";43.4052;11.7634;"Rest Area"
244;"u0pxmvnb";46.302;10.809;"Resort"
245;"u0pxmvnc";46.3021;10.809;"Resort"
246;"u0pxmuyy";46.3016;10.809;"Resort"
247;"u0pxmxxn";46.3167;10.7984;"Salon / Barbershop"
248;"u0pxmuyv";46.3015;10.809;"Athletics & Sports"
249;"u0pxmuzm";46.3015;10.8097;"Athletics & Sports"
250;"u0pxmuyf";46.3009;10.809;"Athletics & Sports"
251;"u0pxn25x";46.2318;10.8265;"Plaza"
252;"u0pxmuzn";46.3016;10.8094;"Resort"
253;"spzwqf4c";44.7036;10.8475;"Italian Restaurant"
254;"sr2y4rpz";41.8757;12.4144;"Café"
255;"sr2y4x9m";41.8781;12.4164;"Hospital"
256;"sr2yk7fx";41.9018;12.4951;"Boutique"
257;"sr2yk7e0";41.8992;12.4958;"Italian Restaurant"
258;"sr2yk7d2";41.8992;12.4947;"Italian Restaurant"
259;"u15172pn";50.8458;4.3714;"Office"
260;"u151jybe";50.8385;4.4723;"Bus Stop"
261;"u2ezcunb";49.1969;16.6098;"Club House"
262;"u2ezf527";49.1933;16.6118;"Department Store"
263;"u2ezcrjg";49.2139;16.5864;"Garden"
264;"u2gb1hhq";49.2418;16.5734;"Bus Stop"
265;"u2gb17dq";49.2391;16.5816;"none"
266;"u2ezft6f";49.2041;16.6373;"Coworking Space"
267;"u2fkf4ut";50.0698;14.5083;"Parking"
268;"u2fkf4ut";50.0698;14.5083;"Government Building"
269;"u2fkf4ut";50.0698;14.5083;"Bus Stop"
270;"u2fkf4gu";50.0696;14.5073;"Parking"
271;"u2fkf5jc";50.0705;14.51;"Drugstore"
272;"u2fkf5h0";50.0703;14.5076;"Pub"
273;"u2fkf5h2";50.0703;14.508;"Pub"
274;"u2fkf5h3";50.0705;14.508;"Pub"
275;"u2s4n3j8";48.1696;17.1574;"Office"
276;"u2fhzt7j";50.0835;14.3964;"General Entertainment"
277;"u2fjpy71";50.1323;14.4074;"none"
278;"u2ezcfej";49.1895;16.6046;"Yoga Studio"
279;"u2ezcrjg";49.2139;16.5864;"none"
280;"u2ezcgyw";49.1965;16.6094;"Bar"
281;"u2fkf4uw";50.0699;14.5083;"Bus Stop"
282;"u2fkf4u2";50.0689;14.508;"Medical Center"
283;"u2fkf4gg";50.0694;14.5073;"Parking"
284;"u2fhyqjw";50.0878;14.3449;"Supermarket"
285;"u2fkf5h0";50.0703;14.5076;"Library"
286;"u2fkf5h1";50.0705;14.5076;"Pub"
