"id";"geohash";"lat";"lon";"descr"
395;"sr2ytg4y";41.9414;12.5613;"Residential Building (Apartment / Condo)"
396;"sr2yqn14";41.9133;12.5699;"Post Office"
397;"sr2yqnmv";41.9152;12.5764;"Salon / Barbershop"
398;"sr2yk76v";41.8987;12.4954;"Church"
399;"sr2yqnqp";41.9155;12.5768;"Driving School"
400;"sr2yq576";41.8982;12.573;"Café"
401;"sr2yq57c";41.898;12.5737;"Café"
402;"sr2ymwju";41.9136;12.5545;"Supermarket"
403;"sr2yk774";41.8982;12.4958;"Church"
404;"sr2yqntk";41.9164;12.5757;"Tennis Court"
405;"sr2yk77j";41.8987;12.4958;"Church"
406;"sr2yk77h";41.8985;12.4958;"Church"
407;"sr2yk77j";41.8987;12.4958;"Italian Restaurant"
408;"sr2yh5mv";41.8547;12.4885;"Hockey Arena"
409;"sr2yh5et";41.8561;12.4855;"Farmers Market"
410;"sr2vfg4p";41.8098;12.4285;"Sports Club"
411;"sr2vfg4q";41.8096;12.4288;"Supermarket"
412;"sr2yxd63";41.9365;12.6375;"Hardware Store"
413;"sr2ymyyr";41.9183;12.5661;"Supermarket"
414;"sr2ymyyp";41.9183;12.5658;"Supermarket"
415;"sr2yqnpk";41.9136;12.5785;"Supermarket"
416;"sr2yqnh0";41.9129;12.574;"Supermarket"
417;"sr2yqnqq";41.9153;12.5771;"Driving School"
418;"sr2yqnqm";41.9152;12.5771;"Bed & Breakfast"
419;"sr2yk76c";41.898;12.4954;"Bed & Breakfast"
420;"u2j71jtr";45.5588;18.6841;"Bakery"
421;"u2j71jvb";45.559;18.6848;"College Math Building"
422;"u2j71jtx";45.5588;18.6845;"Bakery"
423;"u2jdb106";45.4893;18.9849;"none"
424;"u2j9br3s";45.3482;18.9976;"Office"
425;"u2j70vr0";45.5563;18.6756;"Camera Store"
426;"u2j701zs";45.5377;18.6433;"Automotive Shop"
427;"u2jd02kj";45.3539;19.001;"Bar"
428;"u2j71jtw";45.5587;18.6845;"Bakery"
429;"u2j71tnr";45.5561;18.7075;"College Engineering Building"
430;"u2jdb1jg";45.4895;18.9924;"Eastern European Restaurant"
431;"u2j7151v";45.5448;18.6793;"Hardware Store"
432;"u2j71jv9";45.5592;18.6845;"Bar"
433;"u2j71km1";45.551;18.6948;"Post Office"
434;"srywcyqk";44.8154;20.4763;"Dentist's Office"
435;"srywc9c7";44.7905;20.4584;"Church"
436;"srywcyqm";44.8156;20.4763;"Dentist's Office"
437;"srvr7h8n";44.894;18.7648;"none"
438;"srvr6ygs";44.906;18.7586;"Pizza Place"
439;"gc4p0wkc";51.8901;-8.4088;"Government Building"
440;"gc4p0wkb";51.8899;-8.4088;"Government Building"
441;"gc1zjy12";51.8885;-8.5345;"Housing Development"
442;"gc1zjy18";51.8885;-8.5342;"Pizza Place"
443;"gc1zprbb";51.8981;-8.4693;"Coffee Shop"
444;"gc1zjy12";51.8885;-8.5345;"College Auditorium"
445;"gc1zjy13";51.8887;-8.5345;"College Auditorium"
446;"gc4p0whw";51.8895;-8.4092;"Government Building"
447;"gc1zjv6d";51.8847;-8.5328;"Bus Stop"
448;"gc1zjv67";51.8849;-8.5331;"Bus Stop"
449;"gc1zjv66";51.8847;-8.5331;"Bus Stop"
450;"gc4p0whx";51.8897;-8.4092;"Government Building"
451;"gc4p0wk3";51.8901;-8.4095;"Government Building"
452;"gc1zhwh5";51.889;-8.5856;"Supermarket"
453;"gc4p0wm0";51.8899;-8.4085;"Government Building"
454;"gc1zjvcr";51.8883;-8.5345;"Housing Development"
455;"gc1zjv3d";51.8847;-8.5342;"College Library"
456;"gc1zjv4n";51.8841;-8.5335;"College Cafeteria"
457;"gc1zjv1v";51.8839;-8.5338;"College Cafeteria"
458;"gc1zjv3f";51.8847;-8.5338;"Student Center"
459;"gc4p0wm1";51.8901;-8.4085;"Government Building"
460;"gc1zppv0";51.8981;-8.4744;"Herbs & Spices Store"
461;"gc1zppw7";51.8973;-8.4727;"Gastropub"
462;"gc1zppt5";51.8973;-8.4744;"Furniture / Home Store"
